record_id,period,artifact_kind,evidence_class,campaign_or_family,primary_path,related_paths,source_commit_or_timestamp,result_scope,comparability_warnings,deduplication_note,availability,primary_sha256,missing_local_paths
summer_code_reset,2026-07-30 to 2026-08-04,Git provenance and workflow docs,audit,"Summer algorithm reset: greedy, event pricing and durable pools",/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/HISTORY_EVIDENCE.md,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/CHAIN3_NESTING_AND_DP_CHANGES.md; (src/exact_pricer_expanded.py is referenced by the reports but is not retained in this checkout); (src/event_pricer_network.py is referenced by the reports but is not retained in this checkout); /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/EXACT_SOLVER_AND_RESTART_AUDIT.md,"0d7b48b5, 2c10945, cb7d7cc, d8516e6, 9a5241c; ecfec4c; 2f5935f; b96c046; e1b436b; c74148c","Documents greedy initialization, full-SOC start correction, SOC-safe DP pruning/pass-through, event-native SOC-time DAG pricing, physical replay and durable JSONL/checkpoint/pool provenance.","These are implementation/provenance changes, not a one-factor performance result. The June 2026 Git period has no commits in this checkout.",Commit chronology and related code are summarized once; individual commits are not experiments.,local,ef6d3350d8539e736c5b36a59f413cb4d54b6f006f7e5292310076acbe00750f,
summer_resolution_sweep,2026-08-20 to 2026-08-21,referenced analysis tables/plans,audit,Resolution and event/uniform representation sweeps,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/HISTORY_EVIDENCE.md,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/FIGURE_SOURCE_REPORT_2683c775.md; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/FIGURE_SOURCE_PANEL_A_2683c775.csv,resolution report cites 7909cf283b285b9ac22aa2a48d909dc3e1e0fedb; event/uniform plan cites 2dd2b4cd81fb15da137f6d443f5a495e22fd0255,"Historical report cites a 39-cell resolution sweep and a six-representation event/uniform plan, including 10-to-5-minute k2 sensitivity.",The cited analysis directories are not retained in this local checkout; only summaries/figure source artifacts remain. Do not treat cited rows as locally reproducible raw data.,Summary and figure-source files refer to the same underlying studies.,local summary + referenced-not-retained raw source,ef6d3350d8539e736c5b36a59f413cb4d54b6f006f7e5292310076acbe00750f,
summer_k40_physical_audit,2026-08-18,physical replay audit,audit,K40 route-pool and continuous-realization audit,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/HISTORY_EVIDENCE.md,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/GIRO_FULL_FLEET_CAPACITY_AUDIT.md,e2b6939b5a5af7033acabec033f6b3d8dde3af4c (2026-08-18),Report cites four frozen pools with zero routes infeasible after continuous realization; stored-grid overfill was repairable. GIRO full-fleet capacity audit separately measures source schedule overlap.,"Expanded-grid reduced-cost certification does not transfer to continuous costs; the referenced raw K40 directory is not locally retained. Capacity audit is source/operational evidence, not solver proof.",K40 raw physical audit and capacity audit are separate scopes; keep them separate in claims.,local audit + referenced remote raw,ef6d3350d8539e736c5b36a59f413cb4d54b6f006f7e5292310076acbe00750f,
summer_full_cache_witness,2026-09-09,event-model witness audit,matched replay,Original-chain full-cache GIRO witnesses,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/full_cache_witness_audit/SUMMARY.md,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/full_cache_witness_audit/LEGACY_SUMMARY.md; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/full_cache_witness_audit/summary.csv,snapshot 20260909T2054Z; audit driver SHA 7eb8ba1a924555c66d8b2f333a0ea72bec5d1c519a5f02d68d2a2f6b7d2e1905; array 652908,All 12 retained proved-above-target frozen-pool cases have physically valid target-fleet GIRO partitions in the exact original event cache; selected 175-trip extension proves 10 under 240/240 and 300/300 named event models.,"This establishes event-model witnesses and overlap lower bounds, not recovery by the RAW generated pool and not unrestricted continuous or shared-capacity optimality.","The 12 rows and 175-trip two-arm extension are one cache-witness audit, not independent instances.",local,7c4da59980851e7e4bf342c5a6ba0140e3df5938fffae47ac8ea7d5ee6a525c9,
current_nested84_results,2026-09-07 to 2026-09-09,CG/MIP result tables and audit,results available,"Six random nested chains, k=2..15",/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/CHAIN_DIAGNOSIS_20260909.csv,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/CHAIN_DIAGNOSIS_20260909.md; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/CHAIN_CHARACTERISTICS.csv; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/CHAIN_CHARACTERISTICS.md; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/CURRENT_STATE.md; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/integer_results.csv; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/actual_fleet_nested84.md,CG execution commit 21fbecba826824c44f897feef038fcf51c532582; source snapshot 20260909T2054Z SHA 40eb776f6528f62016628276157ce6f38d468bbc063dd7f3ce2caa46024285f6,"240/240, event 2.5-kWh/5-minute, strict partition. Six-chain final finite-pool fleets at k2..k7 are in CHAIN_DIAGNOSIS; 81/84 CG runs have pricing certificates, three hit CG time limits. k2 all six equal2; k3 3,4,3,3,3,3; k4 4,5,7,4,8,5; k5 5,8,6,9,13,5; larger rows are censored/time-limited as documented.",The route-weight LP endpoint can equal the overlap floor while the frozen-pool integer optimum is above it; finite-pool values are not global route-space values. Current chain rows are not statistically representative of all 40 duties.,"CSV, markdown, charts and integer snapshot are views of one 84-cell campaign; do not count as independent chains.",local,9b2a0705912c0bc07c58dbbd4a9703a9ca70ad8469e419a44e8cd7df644736d0,
current_nested84_convergence,2026-09-09 to 2026-09-10,CG traces and figures,results available,Nested-chain LP convergence and timing evidence,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/cg_convergence_evidence,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/LP_FLOORS_AND_NESTED_RUNS_20260909.md; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/LP_K_EQUALS_AUDIT_20260910.csv; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/LP_K_EQUALS_AUDIT_20260910.md; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/lp_audit_logs,source CG commit 21fbecba826824c44f897feef038fcf51c532582; timing audit 2026-09-10,"Shows fractional route-weight trajectories, cumulative CG time/iteration, certified stopping rows and corrected phase telemetry. Representative k02_p1 pricing 74.5%, master 13.8%, incidence 10.7%; k07_p1 pricing 67.4%, master 24.5%, incidence 7.6%.",Pricing certificate is for the named discretized event/SOC graph under reduced-cost tolerance; it does not certify integer route-pool completeness or shared-station capacity. `pricing_extra_columns` already includes shortest-path time.,"Trace files and plot exports describe the same nested campaign; log copies are evidence extracts, not new solves.",local,,
current_small_pool_causal,2026-09-08 to 2026-09-09,causal/provenance audit,audit,Small finite-pool deficits and witness transfer,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/SMALL_POOL_CAUSAL_AUDIT_20260909.md,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/K2_HISTORY_AUDIT_20260909.md; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/EXACT_SOLVER_AND_RESTART_AUDIT.md; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/CHAIN3_NESTING_AND_DP_CHANGES.md,audit snapshots 2026-09-09; source current event CG commit 21fbecba826824c44f897feef038fcf51c532582,"For k03_p2/p12/p14/p17, CG certifies the finite-pool LP and Gurobi proves pool optima 4/9/7/10 while independent event witnesses and overlap floors give fleet optima 3; missing known-duty routes have positive terminal reduced cost in the current duals.","This is evidence of pool composition/integer compatibility, not a universal explanation for every large case; a finite-pool MIP proof excludes only omitted-pool routes.","Multiple reports inspect the same small cases; one causal audit, not several replications.",local,9dcfc8122e41982d9f0ec70928d9ef284e08cecc39b39b4be9814cec0376ca2c,
current_warm_p3,2026-09-09 to 2026-09-10,dependent CG/freeze/MIP result,matched replay,"Previous-k inherited-column chain, p3 k2..10",/Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/warm_chain_status/README.md,/Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/warm_chain_status/cg_status.csv; /Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/warm_chain_status/mip_status.csv; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/chain3_warmstart_control; /Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/license_and_mip_recovery/STATUS.md,CG ecb60c154a9a5db385e3a573949ec9fd0a737af3; MIP 871d057e1067411f09581e37d78f7c1ca43f68bb; warm p3 k8 source comparison hash-bound,"Only p3 received predecessor-column inheritance; duals/bases/certificates were not inherited. Warm k8 and fresh k8 have matching LP objective to about 1.6e-8, while fresh pool proves 9 and warm pool proves 8. Warm k10 Stage1 proves10; Stage2 is time-limited at 14.3934% gap with fleet<=10.","The p3 warm result is not a general speed claim: k10 import dominates elapsed time, and the k8 outcome points to pool contents. The recovered k10 job had a valid result but scheduler publication failed due to duplicate output path; the duplicate artifact is excluded.","Warm-chain status, recovery records and report excerpts are one dependent campaign.",local,634685c6f9f87f13488082033ae45f52bdfd0ca01930d0ee31b9d8a340e583fc,
current_warm_p5_plan,2026-09-10,launch plan/scripts,audit,"Second nested warm-chain replication, p5 k2..10",/Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/warm_chain_p5/README.md,/Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/warm_chain_p5/README.md,CG ecb60c154a9a5db385e3a573949ec9fd0a737af3; MIP 871d057e1067411f09581e37d78f7c1ca43f68bb,Prepared dependent chain that imports predecessor event columns and adds real child singletons; scripts default to dry-run and the local package does not itself prove completed results.,"Launch package/plan only in local evidence; no result row should be counted until frozen pool, MIP scope and physical replay are published.","Plan, scripts and manifests describe one proposed chain.",local plan only,5637070d567ec1e78d94720c5c46e769ff89daa5f792f0dafddd887cc2658cf9,
current_replication42,2026-09-08 to 2026-09-10,submission plan/job manifest,audit,Additional random nested chains p7..p20 at k3/k5/k6,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/REPLICATION42_JOBS.tsv,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/REPLICATION42_PLAN.json; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/REPLICATION42_SUBMISSION.json; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/SAMPLING_AND_REPLICATION_PLAN_20260909.md,0209d3e05d7b024f5aba6854f857b3ce22ff1e1c; array 599269/599270/599271/599292,42-cell cache→CG→freeze→MIP submission with dependency chain; designed to expand the six-chain sample and estimate censor-aware rates.,"Local files are launch/progress evidence, not a completed 42-cell result table. Do not call the six chains statistically significant or treat submitted cells as observations.",Four pipeline stages for the same 42 cells; job rows are not independent experiments.,local submission + remote execution,e6c2d90d83309a87afa96c640105a72f223fc223b1e8d603dfc7fabd1aef0c1d,
current_easy_ladder,2026-09-08 to 2026-09-10,deterministic nested plan/submission,matched replay,Fewest-trip deterministic easy ladder,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/EASY_LADDER_PLAN.md,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/EASY_K10_RAW_SPLIT_REPLAY_SUBMISSION.json; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/easy_ladder_launch; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/HISTORICAL_EASY10_AUDIT.md,9665429111b461006cc6b844d7d6989daf323454; current easy campaign arrays 582988/582989/582990/583001,"Sorts eligible duties by regular-trip count and duty ID, then takes nested prefixes; canonical k5/k8/k10 are 56/98/127 trips. Includes RAW and GIRO-seeded/tariff controls.",This deterministic chain is a separate cohort from the random six chains and from the historical 329-row May set. A seeded GIRO/fresh-cover start is not RAW algorithm recovery.,"Plan, launch manifest, replay and historical audit are one easy-ladder family; separate tariffs are matched cells, not new duty sets.",local,6ce81e36f8789f38ef9e0fae83b729f42d455514267338b19b7a04501d9f7294,
current_heavy_ladder,2026-09-08 to 2026-09-10,deterministic stress plan/submission,matched replay,Trip-heavy deterministic nested stress ladder,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/HEAVY_LADDER_LAUNCH_20260908.md,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/heavy_launch,9665429111b461006cc6b844d7d6989daf323454; arrays 592465/592466/592472/592473,Descending trip-count prefixes k2/3/5/8/10/15 with 104/150/229/339/403/547 trips; CG and MIP budgets and exclusions recorded.,"Stress sample, not an upper bound on runtime or fleet difficulty; many higher cases are censored and the local package is mostly launch/provenance evidence.",Pipeline stages and per-case files are one stress ladder.,local,20a438f53a7962fb0064860d20aaefd1ccd98dbb0b664b70c40dbc279c1d24b3,
current_greedy_controls,2026-09-08 to 2026-09-09,paired CG/MIP comparison + audit,matched replay,GREEDY versus RAW initialization controls,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/presentation_manager/greedy_comparison.md,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/presentation_manager/greedy_comparison.json; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/GREEDY_PLAN.json; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/GREEDY_SUBMISSION.json; /Users/nadan/Documents/projects/demandresponse/src/results/greedy_init_debug,GREEDY submission commit eaca565903772e356c280b686ad2e95761123935; control source commits differ as documented,Same-parameter paired observations: target3 p2 4 vs4 proved; target5 p2 8 vs8 proved; target6 p1 RAW14 versus GREEDY8 incumbents (neither proved); easy10 RAW12 versus GREEDY13 (neither fleet proved).,"Useful diagnostic, but not a clean one-factor experiment because source commits and pool paths differ; a seed is an incumbent/starting column set, not a lower bound.","The four cases, plan, JSON and debug files are one small control study.",local,5f215ec2aae15f8fe2621179c25cceda96fd30d19117f0158f7ce6587a12f4e6,
current_tariff_charging,2026-09-08 to 2026-09-10,matched charging comparison,matched replay,GIRO retained charging versus fixed-duty and joint reoptimization,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/presentation_manager/charging_audit/README.md,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/presentation_manager/charging_audit/charging_three_baselines.csv; /Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/charging_shift/README.md; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/CHARGING_BASELINE_EXPLANATION_20260909.md; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/TARIFF_EXTENSION_REVIEW.md; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/TARIFF_MATRIX_COVERAGE.csv,a9a9720f471e5d3b30acff6f46208f20c22f18fc; extension a6e5059688703641db9aa3349b6ab6a9f76c1987; arrays 583447/592644/592645,"Same 62 trips/five duties, 240-kWh battery and declared 350-kW charging scenario: original repriced/fixed-duty/joint totals peak08 490.29–490.98/267.34/242.55, peak12 549.59–550.60/320.09/304.78, peak18 483.45–483.72/211.83/182.35.","Original within-window power is unobserved; optimized schedules end with far less terminal surplus and lower modeled start fees. These are model-currency comparisons, not pure time-shifting or verified operator savings; shared ports and newly recovered nonlinear charging are outside this cohort.",Sixteen tariff cells across four cohorts/tariffs are one matched study; demand-shift PNGs are views of the same CSV.,local,d0a28cb3b01ea6b13ba5ea911b36200d59218ded17136322ccc8a6bd10e7fb5b,
current_giro_k1_recovery,2026-09-09,source recovery and feasibility audit,matched replay,GIRO single-duty recovery probes,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_k1_recovery_review/README.md,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_k1_recovery_review/k1_results.json; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_k1_recovery_review/k2_results.json; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/PARTILLE_RECHARGE_PIECEWISE_AUDIT.md,369d3878f96a1164a7b2319a137d136fb66de52d; branch codex/giro-k1-recovery-20260909,42/42 literal duties feasible in fixed-sequence and unrestricted single-vehicle DP probes; recovered trip order matches GIRO 42/42; six regression checks passed.,"Feasibility/max-cardinality probes, not production cost pricing, column-generation convergence or multi-vehicle optimality. Pair probes expose greedy/charger-overlap limitations.",Weekday/suffix variants are grouped by the source audit and are not independent samples.,local,09aa087cb317fafdbe66e3b2db00b9ea079082971c031f57d148fae8199cc6af,
current_giro_k23_capacity,2026-09-09,bounded cluster pilot,results available,Capacity-aware k2/k3 comparison,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_k23_capacity_duals/README.md,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_k23_capacity_duals,ed3f1538d1987a5692fabb2961b3245b6cf7c257; array 652944,Eight matched cells with capacity duals and retained charging/no-charging alternatives; pilot documents an E1-short-k2 constrained LP2 and pool MIP3 versus unconstrained2.,Full-window policy remains restrictive; bounded pilot does not eliminate all integer gaps or certify the complete event model. Local directory contains package/manifest rather than a full consolidated result table.,Eight cells are one bounded diagnostic pilot.,local,281d085e1172a41244258e652e8d0b12f2c0296f2bd79c7701d34bec6cebd8e2,
