algorithm_family,implementation,treatment,scale_family,scale,size_class,comparison_group,model_difference,required_evidence,minimum_replicates,trajectory_replicates,endpoint_replicates,mip_checkpoint_replicates,mip_final_replicates,verified_trip_sets,replicate_semantics,coverage_status,availability_reason
mip_finite_pool,two_stage_pool_mip,RAW,union,5,small,union-5,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,MATCHING,union,5,small,union-5,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,GIRO,union,5,small,union-5,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
heuristic_dp_historical,legacy_dp,,union,8,small,union-8,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
heuristic_dp_current,instrumented_dp,,union,8,small,union-8,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
exact_expanded_network,exact_pricer,,union,8,small,union-8,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,RAW,union,8,small,union-8,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,MATCHING,union,8,small,union-8,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,GIRO,union,8,small,union-8,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
heuristic_dp_historical,legacy_dp,,union,10,small,union-10,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
heuristic_dp_current,instrumented_dp,,union,10,small,union-10,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
exact_expanded_network,exact_pricer,,union,10,small,union-10,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,RAW,union,10,small,union-10,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,MATCHING,union,10,small,union-10,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,GIRO,union,10,small,union-10,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
heuristic_dp_historical,legacy_dp,,union,13,small,union-13,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
heuristic_dp_current,instrumented_dp,,union,13,small,union-13,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
exact_expanded_network,exact_pricer,,union,13,small,union-13,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,RAW,union,13,small,union-13,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,MATCHING,union,13,small,union-13,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,GIRO,union,13,small,union-13,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
heuristic_dp_historical,legacy_dp,,union,15,medium,union-15,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
heuristic_dp_current,instrumented_dp,,union,15,medium,union-15,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
exact_expanded_network,exact_pricer,,union,15,medium,union-15,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,RAW,union,15,medium,union-15,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,MATCHING,union,15,medium,union-15,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,GIRO,union,15,medium,union-15,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
heuristic_dp_historical,legacy_dp,,union,20,medium,union-20,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
heuristic_dp_current,instrumented_dp,,union,20,medium,union-20,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
exact_expanded_network,exact_pricer,,union,20,medium,union-20,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,RAW,union,20,medium,union-20,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,MATCHING,union,20,medium,union-20,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,GIRO,union,20,medium,union-20,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
heuristic_dp_historical,legacy_dp,,union,30,medium,union-30,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
heuristic_dp_current,instrumented_dp,,union,30,medium,union-30,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
exact_expanded_network,exact_pricer,,union,30,medium,union-30,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,RAW,union,30,medium,union-30,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,MATCHING,union,30,medium,union-30,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,GIRO,union,30,medium,union-30,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
heuristic_dp_historical,legacy_dp,,union,40,k40,union-40,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
heuristic_dp_current,instrumented_dp,,union,40,k40,union-40,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
exact_expanded_network,exact_pricer,,union,40,k40,union-40,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,RAW,union,40,k40,union-40,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,MATCHING,union,40,k40,union-40,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,GIRO,union,40,k40,union-40,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
heuristic_dp_historical,legacy_dp,,first_n_stress,10,observed_outside_design,observed:heuristic_dp_historical:legacy_dp:first_n_stress:10,observed artifact outside reviewed design matrix,trajectory,1,0,0,0,0,0,trip_set_identity_unavailable,identity_unavailable,verified artifact exists but trip-set identity is unavailable
heuristic_dp_historical,legacy_dp,,legacy_first_n_stress,20,observed_outside_design,observed:heuristic_dp_historical:legacy_dp:legacy_first_n_stress:20,observed artifact outside reviewed design matrix,trajectory,1,0,0,0,0,0,trip_set_identity_unavailable,identity_unavailable,verified artifact exists but trip-set identity is unavailable
heuristic_dp_historical,legacy_dp,,legacy_first_n_stress,30,observed_outside_design,observed:heuristic_dp_historical:legacy_dp:legacy_first_n_stress:30,observed artifact outside reviewed design matrix,trajectory,1,0,0,0,0,0,trip_set_identity_unavailable,identity_unavailable,verified artifact exists but trip-set identity is unavailable
heuristic_dp_historical,legacy_dp,,legacy_first_n_stress,43,observed_outside_design,observed:heuristic_dp_historical:legacy_dp:legacy_first_n_stress:43,observed artifact outside reviewed design matrix,trajectory,1,0,0,0,0,0,trip_set_identity_unavailable,identity_unavailable,verified artifact exists but trip-set identity is unavailable
